Gold
Date,Open,High,Low,Close,Volume,Adjacent close
2016-04-15,93.099998,94.860001,92.349998,94.529999,679800,94.529999
2016-04-14,93.529999,93.720001,91.279999,92.220001,922400,92.220001
2016-04-13,97.459999,97.459999,94.410004,94.599998,817600,94.599998
2016-04-12,97.940002,98.660004,96.800003,97.970001,1093600,97.970001
2016-04-11,94.07,96.480003,93.93,96.239998,1109200,96.239998
2016-04-08,92.459999,94.830002,92.370003,94.07,750300,94.07
2016-04-07,92.00,93.019997,91.650002,92.43,1042800,92.43
2016-04-06,88.910004,90.540001,88.870003,90.239998,748700,90.239998
2016-04-05,89.650002,90.25,88.589996,90.040001,633800,90.040001
2016-04-04,89.610001,89.760002,87.949997,88.190002,679200,88.190002
2016-04-01,88.099998,90.580002,88.00,90.540001,538400,90.540001
2016-03-31,91.860001,92.080002,90.690002,90.809998,510200,90.809998
2016-03-30,91.480003,91.650002,89.82,90.940002,810500,90.940002
2016-03-29,89.690002,93.620003,89.050003,93.099998,1032900,93.099998
2016-03-28,90.629997,90.779999,88.610001,89.809998,384000,89.809998
2016-03-24,89.660004,90.610001,89.040001,90.099998,657900,90.099998
2016-03-23,89.510002,90.339996,87.849998,88.50,1329700,88.50
2016-03-22,93.809998,94.510002,92.169998,92.75,721800,92.75
2016-03-21,92.480003,92.970001,91.25,92.099998,765000,92.099998
2016-03-18,94.169998,95.040001,93.239998,93.459999,1164600,93.459999
2016-03-17,94.459999,96.50,93.059998,93.550003,1544300,93.550003
2016-03-16,88.949997,92.510002,86.610001,92.459999,1353900,91.800002
2016-03-15,88.57,89.839996,87.660004,89.760002,651500,89.119278
2016-03-14,90.00,90.300003,88.059998,88.080002,821300,87.45127
2016-03-11,91.220001,92.07,89.730003,90.129997,778200,89.486632
2016-03-10,89.830002,92.610001,89.68,91.660004,947700,91.005717
2016-03-09,87.110001,90.279999,86.870003,89.330002,858200,88.692347
2016-03-08,90.93,91.029999,88.480003,88.739998,836300,88.106555
2016-03-07,89.989998,92.290001,89.900002,91.25,1157600,90.59864
2016-03-04,92.269997,94.769997,90.550003,91.010002,1498500,90.360355
2016-03-03,89.209999,90.489998,88.809998,89.919998,954600,89.278132
2016-03-02,87.440002,89.050003,87.330002,88.610001,782000,87.977485
2016-03-01,89.889999,90.160004,87.400002,87.760002,1072800,87.133554
2016-02-29,89.970001,91.360001,89.970001,91.25,509500,90.59864
2016-02-26,89.32,90.68,88.410004,89.379997,971400,88.741986
2016-02-25,90.199997,90.779999,89.290001,90.529999,1075600,89.883778
2016-02-24,92.489998,93.669998,89.949997,91.029999,1627600,90.380209
2016-02-23,90.779999,92.169998,90.459999,91.769997,780500,91.114925
2016-02-22,88.830002,91.400002,88.830002,90.839996,821300,90.191563
2016-02-19,90.18,91.779999,89.82,90.849998,1256100,90.201494
2016-02-18,87.330002,90.480003,86.809998,90.260002,1432400,89.615709
2016-02-17,85.139999,88.230003,84.809998,87.150002,1149700,86.527908
2016-02-16,85.510002,86.190002,83.849998,84.410004,1674700,83.807469
2016-02-12,86.769997,90.279999,86.470001,90.279999,1580300,89.635563
2016-02-11,88.589996,88.779999,86.230003,87.860001,1690000,87.232839
2016-02-10,82.839996,84.75,81.470001,84.660004,1252800,84.055684
2016-02-09,86.459999,87.75,83.160004,84.050003,2296500,83.450038
2016-02-08,80.790001,87.00,80.459999,85.120003,3036500,84.5124
2016-02-05,74.400002,78.370003,74.360001,78.300003,1054000,77.741083
2016-02-04,75.790001,77.480003,75.480003,76.800003,1180400,76.25179
2016-02-03,72.769997,75.239998,72.699997,75.199997,942100,74.663205
2016-02-02,72.510002,72.980003,71.790001,72.529999,685900,72.012266
2016-02-01,72.00,72.760002,71.589996,72.57,791500,72.051981
2016-01-29,68.800003,70.779999,68.800003,70.720001,764200,70.215188
2016-01-28,68.900002,70.300003,68.449997,69.489998,654900,68.993965
2016-01-27,68.110001,69.43,67.50,69.120003,757300,68.626611
